date,day_of_week,is_sunday,month,year,is_vacation,is_gym_open,active_student_population,exam_phase,exam_intensity,academic_load_index,weather_condition,weather_impact_factor,interuni_event,event_boost_factor,gym_adoption_ratio,maintenance_flag,maintenance_severity,equipment_availability_ratio,effective_capacity,base_demand,raw_demand,daily_gym_footfall
2021-01-01,4,0,1,2021,0,1,238,midterm,0.75,0.5553009963309352,cold_morning,0.85,0,1.0,0.36707379577654403,1,low,0.9,162,87.36356339481748,45.405504902018336,45
2021-01-02,5,0,1,2021,0,1,228,midterm,0.75,0.4409991781508959,cold_morning,0.85,0,1.0,0.2628757883730808,0,none,1.0,180,59.935679749062416,28.721737658713817,28
2021-01-03,6,1,1,2021,0,0,214,midterm,0.75,0.5043117234402226,cold_morning,0.85,0,1.0,0.27573470823160656,0,none,1.0,180,59.0072275615638,29.407258177338818,0
2021-01-04,0,0,1,2021,0,1,242,midterm,0.75,0.6917677793910948,cold_morning,0.85,0,1.0,0.36154372565773674,0,none,1.0,180,87.4935816091723,36.18373376061987,36
2021-01-05,1,0,1,2021,0,1,207,midterm,0.75,0.5286648602029855,cold_morning,0.85,0,1.0,0.3842507139354255,0,none,1.0,180,79.53989778463307,43.272029692140826,43
2021-01-06,2,0,1,2021,0,1,220,midterm,0.75,0.5069654822234223,cold_morning,0.85,0,1.0,0.32814404300871775,0,none,1.0,180,72.1916894619179,33.61869290158305,33
2021-01-07,3,0,1,2021,0,1,238,midterm,0.75,0.2960215788530121,cold_morning,0.85,0,1.0,0.2560092823248973,0,none,1.0,180,60.93020919332555,36.133788588122,36
2021-01-08,4,0,1,2021,0,1,218,midterm,0.75,0.611938034904083,cold_morning,0.85,0,1.0,0.399353055584972,0,none,1.0,180,87.05896611752391,40.47275586604741,40
2021-01-09,5,0,1,2021,0,1,222,midterm,0.75,0.5968226271711613,cold_morning,0.85,0,1.0,0.2734514551094018,0,none,1.0,180,60.70622303428719,29.1240999942229,29
2021-01-10,6,1,1,2021,0,0,210,midterm,0.75,0.8244882084958189,cold_morning,0.85,0,1.0,0.2832431109414274,0,none,1.0,180,59.48105329769975,25.789108638439398,0
2021-01-11,0,0,1,2021,0,1,210,midterm,0.75,0.4538332647570499,cold_morning,0.85,0,1.0,0.31711689172448104,1,medium,0.8,144,66.59454726214102,32.100076804163564,32
2021-01-12,1,0,1,2021,0,1,223,midterm,0.75,0.5328725491495908,cold_morning,0.85,0,1.0,0.3777080210357387,0,none,1.0,180,84.22888869096973,43.13950002596559,43
2021-01-13,2,0,1,2021,0,1,235,midterm,0.75,0.5374075525566133,cold_morning,0.85,0,1.0,0.3426987988276112,0,none,1.0,180,80.53421772448863,46.47213842920426,46
2021-01-14,3,0,1,2021,0,1,239,midterm,0.75,0.7366179919645212,cold_morning,0.85,0,1.0,0.3207432750180955,0,none,1.0,180,76.65764272932483,31.787963094959856,31
2021-01-15,4,0,1,2021,0,1,223,midterm,0.75,0.4857056701419572,cold_morning,0.85,1,1.15,0.3231644265059053,0,none,1.0,180,72.06566711081689,47.55683117384414,47
2021-01-16,5,0,1,2021,0,1,202,midterm,0.75,0.5418532288655509,cold_morning,0.85,1,1.15,0.3021757334321733,0,none,1.0,180,61.03949815329901,40.30140695695932,40
2021-01-17,6,1,1,2021,0,0,221,midterm,0.75,0.5911844764574808,cold_morning,0.85,1,1.15,0.3279069757259253,0,none,1.0,180,72.4674416354295,37.25370355055507,0
2021-01-18,0,0,1,2021,0,1,201,midterm,0.75,0.5279913684734537,cold_morning,0.85,1,1.15,0.25,0,none,1.0,180,50.25,24.83088452091609,24
2021-01-19,1,0,1,2021,0,1,223,midterm,0.75,0.43303495781742074,cold_morning,0.85,1,1.15,0.28516962704651005,0,none,1.0,180,63.592826831371745,39.70993538052849,39
2021-01-20,2,0,1,2021,0,1,243,midterm,0.75,0.5291134989347461,cold_morning,0.85,1,1.15,0.312066096745839,0,none,1.0,180,75.83206150923888,41.42890294447358,41
2021-01-21,3,0,1,2021,0,1,229,midterm,0.75,0.6610447624789658,cold_morning,0.85,1,1.15,0.25,0,none,1.0,180,57.25,36.64243119413529,36
2021-01-22,4,0,1,2021,0,1,237,midterm,0.75,0.346022705088341,cold_morning,0.85,0,1.0,0.319316165890578,0,none,1.0,180,75.67793131606699,41.71186430133308,41
2021-01-23,5,0,1,2021,0,1,201,midterm,0.75,0.5199454511220314,cold_morning,0.85,0,1.0,0.28977643895069394,0,none,1.0,180,58.24506422908948,27.04957548413506,27
2021-01-24,6,1,1,2021,0,0,220,midterm,0.75,0.394981877759124,cold_morning,0.85,0,1.0,0.3877737849157745,0,none,1.0,180,85.3102326814704,40.53963041983117,0
2021-01-25,0,0,1,2021,0,1,232,midterm,0.75,0.6792569943387263,cold_morning,0.85,0,1.0,0.3786509862607428,0,none,1.0,180,87.84702881249233,45.23178556270459,45
2021-01-26,1,0,1,2021,0,1,211,midterm,0.75,0.2715219642824338,cold_morning,0.85,0,1.0,0.27670972154409185,0,none,1.0,180,58.38575124580338,31.28330096808556,31
2021-01-27,2,0,1,2021,0,1,221,midterm,0.75,0.41616172290926173,cold_morning,0.85,0,1.0,0.29245811442166525,0,none,1.0,180,64.63324328718802,34.495261555531826,34
2021-01-28,3,0,1,2021,0,1,243,midterm,0.75,0.5565817812596782,cold_morning,0.85,0,1.0,0.2963026217195804,0,none,1.0,180,72.00153707785803,39.09240795878319,39
2021-01-29,4,0,1,2021,0,1,224,midterm,0.75,0.7348286043851511,cold_morning,0.85,0,1.0,0.27741702619201886,0,none,1.0,180,62.141413867012226,26.616493135860022,26
2021-01-30,5,0,1,2021,0,1,248,midterm,0.75,0.49013746083905185,cold_morning,0.85,0,1.0,0.30975124920140634,0,none,1.0,180,76.81830980194877,39.18970777188375,39
2021-01-31,6,1,1,2021,0,0,226,midterm,0.75,0.41672007099602026,cold_morning,0.85,0,1.0,0.2620858965556205,0,none,1.0,180,59.23141262157023,31.413747373933294,0
2021-02-01,0,0,2,2021,0,1,241,none,1.0,0.7821735604160884,normal,1.0,0,1.0,0.25,0,none,1.0,180,60.25,44.2285545135747,44
2021-02-02,1,0,2,2021,0,1,227,none,1.0,0.2827979149375634,normal,1.0,0,1.0,0.3311355611950134,0,none,1.0,180,75.16777239126804,70.60304531571818,70
2021-02-03,2,0,2,2021,0,1,215,none,1.0,0.1701791065069877,normal,1.0,0,1.0,0.3314764792110905,0,none,1.0,180,71.26744303038446,64.95424043536178,64
2021-02-04,3,0,2,2021,0,1,214,none,1.0,0.5660021675079998,normal,1.0,0,1.0,0.25978421201700036,0,none,1.0,180,55.59382137163808,43.28106964508835,43
2021-02-05,4,0,2,2021,0,1,246,none,1.0,0.4246918663471083,normal,1.0,0,1.0,0.34476777153813,0,none,1.0,180,84.81287179837997,67.78762184595043,67
2021-02-06,5,0,2,2021,0,1,250,none,1.0,0.346815077430393,normal,1.0,0,1.0,0.2684211135417334,0,none,1.0,180,67.10527838543335,49.25601643799659,49
2021-02-07,6,1,2,2021,0,0,243,none,1.0,0.606253467094903,normal,1.0,0,1.0,0.31265826190189905,0,none,1.0,180,75.97595764216148,59.03421882449167,0
2021-02-08,0,0,2,2021,0,1,202,none,1.0,0.5365701070656799,normal,1.0,0,1.0,0.3410172006306228,0,none,1.0,180,68.88547452738581,64.33761360494505,64
2021-02-09,1,0,2,2021,0,1,236,none,1.0,0.41538820538949073,normal,1.0,0,1.0,0.2983193717648143,0,none,1.0,180,70.40337173649618,53.51756403868802,53
2021-02-10,2,0,2,2021,0,1,250,none,1.0,0.30795434019936585,normal,1.0,0,1.0,0.32273704560705674,1,high,0.65,117,80.68426140176419,65.276601777292,65
2021-02-11,3,0,2,2021,0,1,206,none,1.0,0.6308685992420217,normal,1.0,0,1.0,0.2741785178056214,1,low,0.9,162,56.48077466795801,38.55108692102439,38
2021-02-12,4,0,2,2021,0,1,220,none,1.0,0.5975301766937992,normal,1.0,0,1.0,0.2901766708285951,0,none,1.0,180,63.83886758229092,52.10071854272201,52
2021-02-13,5,0,2,2021,0,1,208,none,1.0,0.48512362043309254,normal,1.0,0,1.0,0.28970702845598295,0,none,1.0,180,60.25906191884445,50.7439307788035,50
2021-02-14,6,1,2,2021,0,0,238,none,1.0,0.7769955494071499,normal,1.0,0,1.0,0.26267108267298805,0,none,1.0,180,62.51571767617116,42.402869302829224,0
2021-02-15,0,0,2,2021,0,1,217,none,1.0,0.3394872850510771,normal,1.0,0,1.0,0.2911612918442109,0,none,1.0,180,63.182000330193766,49.58961943361812,49
2021-02-16,1,0,2,2021,0,1,203,none,1.0,0.27117122436128915,normal,1.0,0,1.0,0.25,0,none,1.0,180,50.75,45.66318500982457,45
2021-02-17,2,0,2,2021,0,1,224,none,1.0,0.39621378951781333,normal,1.0,0,1.0,0.27544231264289476,0,none,1.0,180,61.69907803200843,43.79704525073274,43
2021-02-18,3,0,2,2021,0,1,213,none,1.0,0.49316209754667534,normal,1.0,0,1.0,0.28575622533151646,0,none,1.0,180,60.866075995613,49.560112042293994,49
2021-02-19,4,0,2,2021,0,1,249,none,1.0,0.5365009173984038,normal,1.0,0,1.0,0.287191012375231,0,none,1.0,180,71.51056208143251,61.0592309574981,61
2021-02-20,5,0,2,2021,0,1,208,none,1.0,0.4638145913215505,normal,1.0,0,1.0,0.28792512770646106,0,none,1.0,180,59.8884265629439,42.6745300128185,42
2021-02-21,6,1,2,2021,0,0,225,none,1.0,0.5528083094771445,normal,1.0,0,1.0,0.2969117900069935,0,none,1.0,180,66.80515275157354,44.058826759869916,0
2021-02-22,0,0,2,2021,0,1,201,none,1.0,0.31226908637143336,normal,1.0,0,1.0,0.3239720759043032,0,none,1.0,180,65.11838725676495,65.98496774615994,65
2021-02-23,1,0,2,2021,0,1,219,none,1.0,0.7165646906109889,normal,1.0,0,1.0,0.3437258537066261,1,medium,0.8,144,75.27596196175112,50.414778825999086,50
2021-02-24,2,0,2,2021,0,1,227,none,1.0,0.4876773232411147,normal,1.0,0,1.0,0.26751173865758665,0,none,1.0,180,60.72516467527217,54.431901006303036,54
2021-02-25,3,0,2,2021,0,1,246,none,1.0,0.6675943747382191,normal,1.0,0,1.0,0.25,0,none,1.0,180,61.5,44.38300035899503,44
2021-02-26,4,0,2,2021,0,1,206,none,1.0,0.5514088019566556,normal,1.0,0,1.0,0.25,0,none,1.0,180,51.5,39.49087619430135,39
2021-02-27,5,0,2,2021,0,1,243,none,1.0,0.5685129828730676,normal,1.0,0,1.0,0.27563985394025364,0,none,1.0,180,66.98048450748163,54.01750648284571,54
2021-02-28,6,1,2,2021,0,0,207,none,1.0,0.5854650920348305,normal,1.0,0,1.0,0.2824039341091745,0,none,1.0,180,58.45761436059912,40.81020154183221,0
2021-03-01,0,0,3,2021,0,1,246,endterm,0.55,0.5671562840025972,normal,1.0,0,1.0,0.26150019669012714,0,none,1.0,180,64.32904838577127,27.716796771538807,27
2021-03-02,1,0,3,2021,0,1,234,endterm,0.55,0.5964084139801316,normal,1.0,0,1.0,0.25,0,none,1.0,180,58.5,23.564604260319282,23
